忙 | máng | Bận, bận rộn
很 | hěn | Rất
汉 | hàn | Hán (trong dân tộc Hán, chữ Hán)
语 | yǔ | Ngôn ngữ, tiếng nói
汉语 | hànyǔ | Tiếng Hán, tiếng Trung
难 | nán | Khó
太 | tài | Quá, lắm (thường dùng trong cấu trúc 太...了: quá... rồi)
他 | tā | Anh ấy, ông ấy, cậu ấy (Ngôi thứ 3 số ít, chỉ nam giới)
她 | tā | Cô ấy, chị ấy, bà ấy (Ngôi thứ 3 số ít, chỉ nữ giới)
男 | nán | Nam giới, đàn ông
爸爸 | bàba | Bố
爷爷 | yéye | Ông nội
妈妈 | māma | Mẹ
奶奶 | nǎinai | Bà nội
姐姐 | jiějie | Chị gái
妹妹 | mèimei | Em gái
哥哥 | gēge | Anh trai
弟弟 | dìdi | Em trai
他是一个好男人 | Tā shì yí ge hǎo nánrén. | Anh ấy là một người đàn ông tốt.
汉语不太难 | Hànyǔ bú tài nán. | Tiếng Hán không khó lắm
